aa,88
aaa,1
aah,5
ah,298
aahe,1
ahe,24
ahed,2
he,2997
hed,144
ed,3353
aahi,1
ahi,22
ahin,4
hi,3059
hin,405
hing,119
in,6848
ing,2616
ng,3497
aahs,1
ahs,18
hs,115
aal,16
al,8638
aali,10
ali,1152
alii,5
li,4425
lii,12
ii,108
liis,1
iis,3
is,5108
aals,3
als,161
ls,506
aam,7
am,3513
aan,15
aani,6
an,10670
ani,821
ni,3275
aar,17
aard,5
ar,8181
ard,666
ardv,2
rd,1026
rdv,2
rdva,2
dv,198
dva,23
dvar,3
va,479
var,71
vark,5
ark,131
rk,260
arks,16
rks,32
ks,385
ardw,4
rdw,10
rdwo,4
dw,72
dwo,19
dwol,2
wo,347
wol,5
wolf,2
ol,2450
olf,4
lf,122
wolv,1
olv,13
olve,8
lv,116
lve,65
lves,6
ve,1211
ves,75
es,6293
aarg,1
arg,295
argh,10
rg,589
rgh,39
gh,320
aaro,5
aro,392
aron,61
ro,5023
ron,587
on,5035
roni,92
oni,1000
onic,200
nic,486
ic,5639
nica,83
ica,1337
ical,959
ca,8980
cal,1941
onit,99
nit,326
nite,162
it,3299
ite,939
te,5887
niti,84
iti,637
itic,134
ti,7859
tic,1885
aarr,2
arr,507
arrg,3
rr,925
rrg,4
rrgh,2
rghh,1
ghh,1
hh,18
aaru,1
aru,70
ru,673
aas,9
as,4526
aasv,2
asv,2
asvo,2
sv,5
svo,3
svog,2
vo,227
vog,6
voge,3
og,1690
oge,311
ogel,8
ge,1614
gel,120
el,2606
gels,8
els,75
ab,2525
aba,314
ba,4938
abab,3
bab,169
babd,1
abd,65
abde,4
bd,94
bde,21
bdeh,1
de,2062
deh,24
eh,243
babu,14
abu,98
abua,2
bu,2430
bua,5
ua,440
abac,28
bac,699
ac,5266
baca,14
aca,333
acay,2
cay,32
ay,398
acas,8
cas,505
acat,31
cat,1037
cate,217
at,6722
ate,1519
acax,2
cax,6
caxi,2
ax,297
axi,126
xi,384
baci,49
aci,363
ci,1479
acin,54
cin,228
